inv_kwh_total,roll_temp_mean_7d,roll_kwh_today_std_7d,roll_temp_std_7d,roll_temp_std_3d,roll_temp_mean_3d,roll_pv1_power_std_7d,anom_night_power_7d,roll_kwh_today_mean_7d,roll_kwh_today_std_3d,str_worst_ratio_rmean_7d,day_of_week,inv_power,str_mean_rmean_7d,roll_kwh_today_mean_3d,stress_hightemp_7d,is_daytime,anom_night_hightemp_7d,roll_power_std_3d,roll_pv1_power_mean_3d,plant_id_plant_1,plant_id_plant_2,plant_id_plant_3
1886563.917,20.85837316,838.7315062,24.16011041,23.27252821,19.16568807,112.5134763,0,812.0428546,826.649911,0.062665726,2,250.2616667,3.008934438,747.422652,26,1,0,104.8184552,69.77192468,TRUE,FALSE,FALSE
586320.2,42.4135186,2170.485114,5.65708393,4.725133254,42.84349839,2.742693068,0,367.9719623,3308.484502,0,6,0,1.442919452,583.0226349,0,0,42,23.14251887,1.994685236,FALSE,TRUE,FALSE
670806.7958,42.27441044,184.222403,6.067882392,5.82932313,42.12057824,2.647829478,0,204.8945135,186.7132397,0,5,57.82916667,1.538506321,206.2515222,0,1,42,23.34977678,1.950979771,FALSE,TRUE,FALSE
529205.4667,22.96882778,747.2252386,24.35682603,25.88627922,23.91776302,101.5964884,0,718.1273689,838.6417404,0.065280068,1,0,2.597348972,778.7341435,22,0,0,114.1491324,85.13188369,TRUE,FALSE,FALSE
441342.825,40.92968727,124.8845415,5.753415981,4.96683326,40.67955729,1.716006538,0,116.157436,84.82469035,0,6,31.975,0,78.2947601,0,1,42,12.23528425,1.078894781,FALSE,TRUE,FALSE
440759.2083,41.32033327,142.8160345,6.305338369,5.599696219,40.65590278,2.176573651,0,141.9551046,123.5962554,0,4,4.85,0,102.078346,0,1,42,13.98973589,1.073424874,FALSE,TRUE,FALSE
344018.4,39.65334215,160.8953003,6.181905151,6.257030843,40.02697889,2.354231493,0,148.1005501,173.3794552,0,4,0,0,121.8538615,0,0,36,16.90014983,1.430397377,FALSE,TRUE,FALSE
659752.5,38.98576484,140.9808289,5.997779561,5.663305398,38.63579365,2.851392222,0,154.7279911,137.0657412,0,2,0,1.111232474,149.9991898,0,0,42,18.18805848,1.870347222,FALSE,TRUE,FALSE
347999.775,40.00957093,3352.923046,6.137906581,6.546946604,39.61898062,2.914512385,0,-67.04615575,175.6533201,0,2,46.65,0,197.0932449,0,1,38,23.10983444,2.165741793,FALSE,TRUE,FALSE
1814964.5,24.21027563,929.3146383,25.93389679,25.87748976,24.07110709,122.0857493,0,1008.585368,950.3852665,0.067703483,6,17.34,3.36065067,1072.163015,35,1,0,121.4797597,94.40965439,TRUE,FALSE,FALSE
1637423.25,23.94820048,607.0567085,20.996732,20.91456433,23.83925221,72.13833803,5,624.1013567,571.029667,0.076595892,5,41.18916667,2.019730939,579.7277916,1,1,0,67.16878651,50.62838426,TRUE,FALSE,FALSE
1485188,26.38389135,664.9208159,23.21108247,23.94867699,26.74255143,80.56745606,3,712.3620137,759.9725815,0.074333203,3,0,2.375007043,834.7604521,10,0,0,91.77182389,75.23978984,TRUE,FALSE,FALSE
685111.6667,38.43171525,914.0590671,26.71457843,26.73414051,41.27029836,122.7136659,4,1049.244221,896.3881132,7.50E-06,1,297.9575,4.67637896,1065.829606,61,1,0,123.6036433,130.8030763,TRUE,FALSE,FALSE
809819.8,41.02142724,858.6883446,25.46381773,25.22180603,39.30551404,115.4683324,3,959.5147084,868.8317099,0,5,267.0337778,4.341128451,983.2045245,60,1,0,109.2310138,109.2631913,TRUE,FALSE,FALSE
1057367,26.05872714,764.6272638,25.84721659,26.15598945,26.26918311,98.84408683,0,848.2260162,779.3008297,0.066992517,7,0.2525,2.74944382,853.7487341,34,1,0,99.25599042,75.30315855,TRUE,FALSE,FALSE
755579,41.79130347,871.937538,26.76426147,25.42165016,38.65792046,118.2238462,5,1116.456537,815.0934373,0,7,0,4.522528428,1029.299689,68,0,0,111.5082805,105.0555666,TRUE,FALSE,FALSE
394395.9,44.61827528,204.9707082,7.638357829,7.60010144,45.38699636,3.213731339,0,238.0700322,207.095533,0,2,0,0,234.935073,4,0,40,25.18044797,2.52005609,FALSE,TRUE,FALSE
1619141.778,24.39055039,609.3955884,21.37622609,21.24374627,24.09878391,72.68840184,4,614.2449416,512.7207343,0.061910659,6,255.0346667,2.128239116,512.0269053,2,1,0,65.93484057,50.21932509,TRUE,FALSE,FALSE
821672,41.88302853,907.1536119,25.87174396,25.95161194,40.82049142,117.5420154,5,1041.791454,891.4045201,8.69E-06,4,4.106666667,4.340353773,1020.6021,64,1,0,116.1619564,119.1123652,TRUE,FALSE,FALSE
992559.1304,25.49929434,676.5319557,23.40186826,23.20641143,25.88196659,85.57564957,2,705.7590384,643.5223241,0.070419148,6,0,2.516944666,661.0153064,12,0,0,87.07163136,71.27695079,TRUE,FALSE,FALSE
